cycle,env,symbol
12143887683,linux,_raw_spin_lock_irqsave
12143888161,linux,_raw_spin_unlock_irqresto
12143888359,linux,bit_wait_io
12143888422,linux,io_schedule
12143888481,linux,io_schedule_prepare
12143888693,linux,blk_flush_plug_list
12143889095,linux,list_sort
12143889175,linux,memset
12143889536,linux,merge
12143889712,linux,plug_rq_cmp
12143889966,linux,merge
12143890068,linux,plug_rq_cmp
12143890416,linux,__cpuidle_text_end
12143890556,linux,__elv_add_request
12143890900,linux,elv_attempt_insert_merge
12143891071,linux,elv_rqhash_find
12143891471,linux,elv_rqhash_add
12143891912,linux,cfq_insert_request
12143891981,linux,cfq_init_prio_data.isra.2
12143892153,linux,ktime_get
12143892577,linux,rdtime
12143892688,sm,trap_vector
12143893454,sm,illegal_insn_trap
12143893662,sm,emulate_system_opcode
12143893844,sm,restore_mscratch
12143893845,sm,restore_regs
12143894308,linux,cfq_add_rq_rb
12143894436,linux,elv_rb_add
12143894614,linux,rb_insert_color
12143894802,linux,cfq_prio_tree_add
12143895041,linux,rb_insert_color
12143895437,linux,__cfq_update_io_thinktime
12143895450,linux,ktime_get
12143895483,linux,rdtime
12143895491,sm,trap_vector
12143895594,sm,illegal_insn_trap
12143895704,sm,emulate_system_opcode
12143895745,sm,restore_mscratch
12143895746,sm,restore_regs
12143895963,linux,__cfq_update_io_thinktime
12143895976,linux,ktime_get
12143896003,linux,rdtime
12143896011,sm,trap_vector
12143896065,sm,illegal_insn_trap
12143896082,sm,emulate_system_opcode
12143896117,sm,restore_mscratch
12143896118,sm,restore_regs
12143897176,linux,__elv_add_request
12143897269,linux,elv_attempt_insert_merge
12143897389,linux,blk_attempt_req_merge
12143897564,linux,cfq_allow_rq_merge
12143897689,linux,attempt_merge
12143897897,linux,elv_rqhash_find
12143898217,linux,cfq_insert_request
12143898235,linux,cfq_init_prio_data.isra.2
12143898251,linux,ktime_get
12143898326,linux,rdtime
12143898334,sm,trap_vector
12143898485,sm,illegal_insn_trap
12143898505,sm,emulate_system_opcode
12143898545,sm,restore_mscratch
12143898546,sm,restore_regs
12143898643,linux,cfq_add_rq_rb
12143898670,linux,elv_rb_add
12143898805,linux,rb_insert_color
12143899008,linux,cfq_choose_req.isra.1.par
12143899291,linux,__cfq_update_io_thinktime
12143899304,linux,ktime_get
12143899334,linux,rdtime
12143899342,sm,trap_vector
12143899393,sm,illegal_insn_trap
12143899413,sm,emulate_system_opcode
12143899449,sm,restore_mscratch
12143899450,sm,restore_regs
12143899579,linux,__cfq_update_io_thinktime
12143899592,linux,ktime_get
12143899616,linux,rdtime
12143899624,sm,trap_vector
12143899687,sm,illegal_insn_trap
12143899704,sm,emulate_system_opcode
12143899738,sm,restore_mscratch
12143899739,sm,restore_regs
12143900120,linux,hrtimer_try_to_cancel
12143900181,linux,hrtimer_active
12143900512,linux,lock_hrtimer_base.isra.1
12143900584,linux,_raw_spin_lock_irqsave
12143900789,linux,__remove_hrtimer.isra.2
12143900920,linux,timerqueue_del
12143901042,linux,rb_next
12143901322,linux,rb_erase
12143901703,linux,_raw_spin_unlock_irqresto
12143901885,linux,__blk_run_queue
12143902061,linux,generic_blkdev_rq_handler
12143902185,linux,blk_fetch_request
12143902348,linux,blk_peek_request
12143902810,linux,cfq_dispatch_requests
12143902972,linux,ktime_get
12143903061,linux,rdtime
12143903127,sm,trap_vector
12143903323,sm,illegal_insn_trap
12143903343,sm,emulate_system_opcode
12143903381,sm,restore_mscratch
12143903382,sm,restore_regs
12143903734,linux,ktime_get
12143903761,linux,rdtime
12143903769,sm,trap_vector
12143903823,sm,illegal_insn_trap
12143903840,sm,emulate_system_opcode
12143903877,sm,restore_mscratch
12143903878,sm,restore_regs
12143904186,linux,cfq_dispatch_insert
12143904307,linux,cfq_find_next_rq
12143904378,linux,rb_next
12143904510,linux,rb_prev
12143904709,linux,cfq_remove_request
12143904889,linux,elv_rb_del
12143904957,linux,rb_erase
12143905326,linux,elv_dispatch_sort
12143905600,linux,elv_rqhash_del.part.5
12143906284,linux,cfq_activate_request
12143906631,linux,blk_start_request
12143906932,linux,blk_add_timer
12143907398,linux,generic_blkdev_queue_requ
12143908054,linux,kmem_cache_alloc
12143908815,linux,blk_stop_queue
12143908935,linux,cancel_delayed_work
12143908994,linux,__cancel_work
12143909113,linux,try_to_grab_pending
12143909288,linux,del_timer
12143909645,linux,set_work_pool_and_clear_p
12143910607,linux,__elv_add_request
12143910896,linux,elv_attempt_insert_merge
12143910978,linux,elv_rqhash_find
12143911317,linux,elv_rqhash_add
12143911476,linux,cfq_insert_request
12143911545,linux,cfq_init_prio_data.isra.2
12143911609,linux,ktime_get
12143911738,linux,rdtime
12143911849,sm,trap_vector
12143912101,sm,illegal_insn_trap
12143912124,sm,emulate_system_opcode
12143912302,sm,restore_mscratch
12143912303,sm,restore_regs
12143912407,linux,cfq_add_rq_rb
12143912488,linux,elv_rb_add
12143912725,linux,rb_insert_color
12143912773,linux,cfq_choose_req.isra.1.par
12143912999,linux,__cfq_update_io_thinktime
12143913012,linux,ktime_get
12143913042,linux,rdtime
12143913050,sm,trap_vector
12143913110,sm,illegal_insn_trap
12143913130,sm,emulate_system_opcode
12143913166,sm,restore_mscratch
12143913167,sm,restore_regs
12143913368,linux,__cfq_update_io_thinktime
12143913378,linux,ktime_get
12143913402,linux,rdtime
12143913410,sm,trap_vector
12143913461,sm,illegal_insn_trap
12143913481,sm,emulate_system_opcode
12143913516,sm,restore_mscratch
12143913517,sm,restore_regs
12143914124,linux,blk_run_queue_async
12143914325,linux,handle_exception
12143914750,linux,riscv_intc_irq
12143915024,linux,irq_enter
12143915082,linux,rcu_irq_enter
12143915642,linux,irq_find_mapping
12143916018,linux,generic_handle_irq
12143916134,linux,radix_tree_lookup
12143916194,linux,__radix_tree_lookup
12143916695,linux,plic_chained_handle_irq
12143917252,linux,riscv_irq_mask
12143917414,linux,irq_find_mapping
12143917541,linux,generic_handle_irq
12143917554,linux,radix_tree_lookup
12143917561,linux,__radix_tree_lookup
12143917776,linux,handle_simple_irq
12143917891,linux,__cpuidle_text_end
12143918640,linux,handle_irq_event
12143918865,linux,handle_irq_event_percpu
12143918931,linux,__handle_irq_event_percpu
12143919299,linux,generic_blkdev_isr
12143919457,linux,__cpuidle_text_end
12143919868,linux,__blk_end_request_all
12143920034,linux,__blk_end_bidi_request
12143920149,linux,blk_update_bidi_request
12143920354,linux,blk_update_request
12143920571,linux,blk_status_to_errno
12143920926,linux,blk_account_io_completion
12143921366,linux,bio_advance
12143921797,linux,bio_endio
12143922190,linux,end_bio_bh_io_sync
12143922321,linux,end_buffer_read_sync
12143922502,linux,wake_up_bit
12143922733,linux,__wake_up_bit
12143922847,linux,__wake_up
12143922907,linux,__wake_up_common_lock
12143923269,linux,_raw_spin_lock_irqsave
12143923405,linux,__wake_up_common
12143923783,linux,wake_bit_function
12143923917,linux,autoremove_wake_function
12143924118,linux,default_wake_function
12143924177,linux,try_to_wake_up
12143924295,linux,_raw_spin_lock_irqsave
12143924714,linux,__task_rq_lock
12143924987,linux,__cpuidle_text_end
12143925448,linux,update_rq_clock
12143925658,linux,sched_clock_cpu
12143926121,linux,ttwu_do_wakeup.isra.5
12143926185,linux,check_preempt_curr
12143926460,linux,check_preempt_wakeup
12143927208,linux,_raw_spin_unlock_irqresto
12143927564,linux,_raw_spin_unlock_irqresto
12143927895,linux,bio_put
12143928014,linux,bio_free
12143928136,linux,bvec_free
12143928301,linux,mempool_free
12143928428,linux,mempool_free_slab
12143928579,linux,kmem_cache_free
12143929668,linux,add_disk_randomness
12143929926,linux,add_timer_randomness
12143930043,sm,trap_vector
12143930383,sm,illegal_insn_trap
12143930545,sm,emulate_system_opcode
12143930684,sm,restore_mscratch
12143930685,sm,restore_regs
12143930832,linux,mix_pool_bytes
12143930947,linux,_raw_spin_lock_irqsave
12143931171,linux,_mix_pool_bytes
12143933408,linux,_raw_spin_unlock_irqresto
12143933774,linux,credit_entropy_bits
12143933975,linux,blk_finish_request
12143934155,linux,blk_delete_timer
12143934279,linux,blk_account_io_done
12143934742,linux,part_round_stats
12143934992,linux,part_dec_in_flight
12143935460,linux,__blk_put_request
12143935693,linux,elv_completed_request
12143935939,linux,cfq_completed_request
12143936167,linux,ktime_get
12143936244,linux,rdtime
12143936303,sm,trap_vector
12143936506,sm,illegal_insn_trap
12143936526,sm,emulate_system_opcode
12143936562,sm,restore_mscratch
12143936563,sm,restore_regs
12143937141,linux,nsecs_to_jiffies
12143937383,linux,ktime_get
12143937407,linux,rdtime
12143937415,sm,trap_vector
12143937469,sm,illegal_insn_trap
12143937486,sm,emulate_system_opcode
12143937520,sm,restore_mscratch
12143937521,sm,restore_regs
12143937714,linux,ktime_get
12143937738,linux,rdtime
12143937746,sm,trap_vector
12143937794,sm,illegal_insn_trap
12143937811,sm,emulate_system_opcode
12143937848,sm,restore_mscratch
12143937849,sm,restore_regs
12143938102,linux,kblockd_schedule_work
12143938258,linux,queue_work_on
12143938379,linux,__queue_work
12143939022,linux,get_work_pool
12143939197,linux,radix_tree_lookup
12143939205,linux,__radix_tree_lookup
12143939684,linux,__cpuidle_text_end
12143940134,linux,insert_work
12143940366,linux,get_pwq.isra.2
